ticket_number,date_time,affected_component,change_by_user
CHG001,2024-01-15 09:30:00,UserAccessModule,USER001
CHG002,2024-01-15 14:20:00,SecuritySettings,USER004
CHG003,2024-01-16 11:45:00,DatabaseConfig,USER002
CHG004,2024-01-16 16:30:00,NetworkSettings,USER007
CHG005,2024-01-17 10:15:00,APIEndpoints,USER003
CHG006,2024-01-17 15:40:00,LoggingSystem,USER005
CHG007,2024-01-18 09:00:00,UserInterface,USER008
CHG008,2024-01-18 13:25:00,BackupSystem,USER006
CHG009,2024-01-19 11:30:00,AuthModule,USER001
CHG010,2024-01-19 16:15:00,ReportingEngine,USER004
CHG011,2024-01-20 10:45:00,DataProcessor,USER002
CHG012,2024-01-20 15:20:00,SecurityModule,USER005
CHG013,2024-01-21 09:15:00,ConfigSettings,USER007
CHG014,2024-01-21 14:50:00,UserManagement,USER003
CHG015,2024-01-22 10:30:00,APIGateway,USER008p
